Places ID,Nama,Kategori,Jam Buka,Jam Tutup,Lokasi,Link Lokasi,Deskripsi,Link Gambar
36,Monumen 45 Banjarsari,Historical & Museum,0.00,23.59,"CRQG+RHP, Setabelan, Banjarsari, Surakarta City, Central Java 57139",https://maps.app.goo.gl/55umKxZecTbVqrdy6,"Ingin merasakan semangat perjuangan kemerdekaan Indonesia? Kunjungi Monumen 45 Banjarsari! Monumen megah ini berdiri sebagai saksi bisu perjuangan rakyat Indonesia dalam merebut kemerdekaan. Dengan desain yang unik dan penuh makna, monumen ini mengajak kita untuk merenung dan menghargai jasa para pahlawan. Selain itu, Anda juga bisa menikmati pemandangan kota Solo yang indah dari puncak monumen. Monumen 45 Banjarsari bukan hanya sekadar tugu peringatan, tetapi juga menjadi simbol semangat nasionalisme yang patut kita teladani.",https://storage.googleapis.com/bucketsformodel/gambar/Monumen%2045%20Banjarsari.jpg
37,Monumen Pers Nasional,Historical & Museum,9.00,15.00,"Jl. Gajahmada No.59, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57132",https://maps.app.goo.gl/M3xXgmcB45vPLFXN7,"Ingin merasakan semangat juang pers Indonesia? Kunjungi Monumen Pers Nasional di Solo! Bangunan bersejarah ini menyimpan ribuan cerita tentang perkembangan pers di tanah air. Melalui koleksi artefak, mesin cetak kuno, hingga karya jurnalistik legendaris, Anda akan diajak bertualang dalam sejarah pers Indonesia. Dengan mengunjungi monumen ini, Anda tidak hanya akan mendapatkan pengetahuan baru, tetapi juga akan lebih menghargai pentingnya peran pers dalam kehidupan demokrasi.",https://storage.googleapis.com/bucketsformodel/gambar/MonumenPersNasional.jfif
38,Museum Batik Danar Hadi,Historical & Museum,9.00,17.00,"Slamet Riyadi St No.261, Sriwedari, Laweyan, Surakarta City, Central Java 57141",https://maps.app.goo.gl/ngdsPT63RYL9hFqH8,"Ingin menyelami keindahan dan sejarah batik Indonesia? Kunjungi Museum Batik Danar Hadi di Solo! Di sini, Anda akan terpukau oleh koleksi batik tulis dan cap yang sangat lengkap, mulai dari batik klasik hingga batik modern. Setiap motif batik memiliki cerita dan makna tersendiri yang mencerminkan kekayaan budaya Nusantara. Selain itu, Anda juga bisa menyaksikan proses pembuatan batik secara langsung dan berbelanja batik asli dengan kualitas terbaik. Museum Batik Danar Hadi adalah destinasi wajib bagi para pecinta batik dan budaya Indonesia.",https://storage.googleapis.com/bucketsformodel/gambar/MuseumBatikDanarHadi.jpeg
39,Museum Manusia Purba Klaster Ngebung,Historical & Museum,8.00,16.00,"Kebayanan I, Ngebung, Kalijambe, Sragen Regency, Central Java 57275",https://maps.app.goo.gl/X5cKuoU43e4zyER29,"Pernahkah Anda membayangkan bertemu dengan nenek moyang manusia? Di Museum Manusia Purba Klaster Ngebung, Anda bisa merasakan sensasi itu! Dengan koleksi fosil manusia purba yang lengkap, Anda akan diajak bertualang ke masa lalu dan menyaksikan evolusi manusia. Selain itu, Anda juga bisa belajar tentang kehidupan manusia purba, alat-alat yang mereka gunakan, serta lingkungan tempat mereka tinggal. Museum ini adalah tempat yang sempurna bagi Anda yang ingin menambah pengetahuan tentang sejarah manusia dan alam semesta.",https://storage.googleapis.com/bucketsformodel/gambar/MuseumManusiaPurbaKlasterNgebung.jpg
40,Museum Manusia Purba Sangiran,Historical & Museum,8.00,16.00,"Jl. Sangiran No.Km.4, Kebayanan II, Krikilan, Kec. Kalijambe, Kabupaten Sragen, Jawa Tengah 57275",https://maps.app.goo.gl/tFhGVdyZ5YSRqHwY8,"Bersiaplah untuk perjalanan waktu yang menakjubkan! Museum Manusia Purba Sangiran mengajak Anda menjelajahi masa lalu manusia purba. Sebagai situs warisan dunia UNESCO, Sangiran menyimpan harta karun berupa fosil-fosil manusia purba terlengkap di Asia. Bayangkan bisa melihat langsung fosil Homo erectus yang berusia jutaan tahun! Dengan mengunjungi museum ini, Anda tidak hanya akan belajar tentang sejarah evolusi manusia, tetapi juga memahami pentingnya situs Sangiran bagi perkembangan ilmu pengetahuan dunia.",https://storage.googleapis.com/bucketsformodel/gambar/MuseumManusiaPurbaSangiran.jpg
41,Museum R Hamong Wardoyo,Historical & Museum,8.00,16.00,"Jl. Pandanaran No.19, Tegalmulyo, Siswodipuran, Kec. Boyolali, Kabupaten Boyolali, Jawa Tengah 57313",https://maps.app.goo.gl/MFKxGhmceiNUsKqQ6,"Ingin merasakan sensasi menjelajahi museum kelas dunia tanpa harus jauh-jauh ke luar negeri? Kunjungi Museum R. Hamong Wardoyo di Boyolali! Dengan desain bangunan yang modern dan mirip Museum Louvre di Paris, museum ini menawarkan pengalaman yang unik dan berkesan. Di dalamnya, Anda akan menemukan berbagai koleksi benda purbakala yang menarik, seperti arca Hindu-Buddha, keramik, dan perhiasan. Jelajahi setiap sudut museum dan temukan kisah sejarah yang tersembunyi di balik setiap benda yang dipamerkan. Selain koleksi benda purbakala yang menakjubkan, museum ini juga menyediakan berbagai fasilitas yang ramah anak, seperti ruang bermain dan area terbuka. Anda bisa mengajak anak-anak untuk belajar tentang sejarah sambil bermain dan bereksplorasi.",https://storage.googleapis.com/bucketsformodel/gambar/MuseumRHamongWardoyo.jpg
42,Museum Radya Pustaka,Historical & Museum,8.00,16.00,"Slamet Riyadi St No.275, Sriwedari, Laweyan, Surakarta City, Central Java 57141",https://maps.app.goo.gl/kdFy9b4ZLsyCst579,"Ingin merasakan perjalanan waktu ke masa lalu? Kunjungi Museum Radya Pustaka, museum tertua di Indonesia! Berdiri sejak tahun 1890, museum ini menyimpan ribuan koleksi bersejarah yang menceritakan kisah perjalanan Kota Solo. Anda akan terpukau dengan koleksi manuskrip kuno, gamelan, wayang kulit, dan berbagai artefak peninggalan kerajaan. Setiap sudut museum seolah-olah berbisik tentang kejayaan masa lalu. Museum Radya Pustaka adalah surga bagi para pecinta sejarah dan budaya Jawa. Di sini, Anda bisa menikmati suasana tenang sambil belajar banyak hal tentang sejarah dan budaya Jawa. Dengan arsitektur bangunan yang klasik dan koleksi yang kaya, museum ini menawarkan pengalaman belajar yang menyenangkan. Selain itu, Anda juga bisa bersantai di taman yang rindang atau menikmati secangkir kopi di kafe yang tersedia.",https://storage.googleapis.com/bucketsformodel/gambar/MuseumRadyaPustaka.jpg
43,Nasi Liwet Yu Sani Gemblegan,Food,17.00,23.00,"CR9C+3GQ, Jl. Veteran, Gajahan, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57156",https://maps.app.goo.gl/SNVwMC21xGZ9oCqz5,"Ingin merasakan kelezatan kuliner khas Solo yang melegenda? Kunjungi Nasi Liwet Yu Sani Gemblegan! Dengan bumbu yang diracik secara turun-temurun, setiap suapan nasi liwet di sini akan memanjakan lidah Anda. Perpaduan sempurna antara nasi gurih, lauk pauk yang lengkap, dan sambal yang menggugah selera akan membuat Anda ketagihan. Selain itu, suasana warung yang sederhana dan penuh keakraban akan membuat Anda merasa seperti sedang berkunjung ke rumah kerabat. Jangan lewatkan kesempatan untuk mencicipi nasi liwet legendaris ini!",https://storage.googleapis.com/bucketsformodel/gambar/NasiLiwetYuSaniGemblegan.jpg
44,New Rivermoon,Nature & Adventure & Park,8.00,18.00,"Kali, Pusur, Karanglo, Kec. Polanharjo, Kabupaten Klaten, Jawa Tengah 57474",https://maps.app.goo.gl/ZfcQfUK8Ts1ntTW96,"Bosan dengan rutinitas? Ingin merasakan sensasi petualangan yang seru? New Rivermoon adalah jawabannya! Terletak di Klaten, destinasi wisata ini menawarkan pengalaman tubing yang tak terlupakan menyusuri sungai yang jernih. Selain tubing, Anda juga bisa mencoba berbagai aktivitas seru lainnya seperti outbound dan menikmati keindahan alam yang masih asri. New Rivermoon adalah tempat yang sempurna untuk melepas penat dan menghabiskan waktu bersama keluarga atau teman-teman. Selain menikmati sensasi tubing di sungai, Anda juga bisa bersantai di resto yang menyajikan berbagai hidangan lezat sambil menikmati pemandangan alam yang indah.",https://storage.googleapis.com/bucketsformodel/gambar/NewRivermoon.jpeg
45,Pandawa Water World,Waterpark,6.00,17.00,"9RV3+RH5, Komplek Pandawa Jl. Cemara Raya Gedangan, Dusun 2, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552",https://maps.app.goo.gl/kVWNwnW4NvN3txix5,"Bersiaplah untuk petualangan seru ala Pandawa! Pandawa Water World mengajak Anda merasakan sensasi bermain air yang tak terlupakan dengan tema pewayangan yang unik. Jelajahi berbagai wahana seru seperti seluncuran air mendebarkan yang terinspirasi dari kisah para Pandawa, atau nikmati kesegaran kolam ombak yang seolah membawa Anda ke pantai. Dengan desain yang menarik dan wahana yang lengkap, Pandawa Water World adalah destinasi wisata air yang wajib Anda kunjungi bersama keluarga dan teman-teman!",https://storage.googleapis.com/bucketsformodel/gambar/PandawaWaterWorld.jpg
46,Pantai Karang Payung,Nature & Adventure & Park,0.00,23.59,"Dusun Dringo, Desa Guntur Harjo, Kecamatan Paranggupito, Kabupaten Wonogiri, Jawa Tengah.",https://maps.app.goo.gl/aQDf7Fy74jqfU44MA,"Bagi Anda yang menyukai petualangan, Pantai Karang Payung adalah destinasi yang wajib dikunjungi. Setelah menempuh perjalanan yang menantang, Anda akan disambut oleh pemandangan pantai yang menakjubkan. Selain menikmati keindahan alam, Anda juga bisa menjelajahi tebing-tebing karang yang unik, berburu foto-foto instagramable, atau sekadar bersantai di tepi pantai. Pantai Karang Payung adalah perpaduan sempurna antara keindahan alam dan tantangan petualangan.",https://storage.googleapis.com/bucketsformodel/gambar/PantaiKarangPayung.jpg
47,Paralayang Kemuning,Nature & Adventure & Park,0.00,23.59,"94WV+CJJ, Segorogunung, Kec. Ngargoyoso, Kabupaten Karanganyar, Jawa Tengah 57793",https://maps.app.goo.gl/JzdWeXa7B4uwnt2R7,"Rasakan adrenalin Anda terpacu saat meluncur bebas di udara dengan olahraga paralayang di Kemuning. Dengan ditemani instruktur yang berpengalaman, Anda akan merasakan sensasi terbang yang tak terlupakan. Setelah puas berpetualang, Anda bisa bersantai di area camping sambil menikmati keindahan matahari terbenam. Paralayang Kemuning adalah perpaduan sempurna antara petualangan yang menantang dan ketenangan alam yang menyejukkan.",https://storage.googleapis.com/bucketsformodel/gambar/ParalayangKemuning.jpg
48,Pitik Cilik Waterpark,Waterpark,8.00,17.00,"Unnamed Road, Kedungjeruk, Kec. Mojogedang, Kabupaten Karanganyar, Jawa Tengah 57752",https://maps.app.goo.gl/Rgvnk2ahfQwdSo5S6,"Cari tempat bermain air yang seru dan menyenangkan tanpa harus merogoh kocek terlalu dalam? Pitik Cilik Waterpark adalah jawabannya! Dengan berbagai wahana menarik seperti seluncuran air, kolam ombak, dan kolam anak, Pitik Cilik Waterpark menawarkan pengalaman liburan yang tak terlupakan bagi seluruh keluarga. Harga tiket masuk yang terjangkau membuat siapa saja bisa menikmati keseruan bermain air di sini. Jangan lewatkan kesempatan untuk bersenang-senang di Pitik Cilik Waterpark!",https://storage.googleapis.com/bucketsformodel/gambar/PitikCilikWaterpark.jpg
49,Pura Mangkunegaran,Historical & Museum,9.00,15.00,"Jl. Ronggowarsito, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131",https://maps.app.goo.gl/qMe2AJkj468beZqbA,"Berjalanlah menyusuri lorong waktu dan saksikan keindahan arsitektur Jawa yang memukau di Pura Mangkunegaran. Istana megah ini, yang berdiri sejak abad ke-18, menyimpan begitu banyak cerita sejarah dan budaya Jawa. Dengan arsitektur perpaduan Jawa dan Eropa, Pura Mangkunegaran menawarkan pengalaman yang unik bagi para wisatawan. Anda akan terpukau dengan keindahan ornamen, ukiran kayu, dan perabot antik yang menghiasi setiap sudut istana. Rasakan kemegahan masa lalu dan tenggelam dalam pesona budaya Jawa di Pura Mangkunegaran.",https://storage.googleapis.com/bucketsformodel/gambar/PuraMangkunegaran.jpg
50,Randubang,Nature & Adventure & Park,0.00,23.59,"Dusun Randubang, Desa Pare, Kecamatan Selogiri, Kabupaten Wonogiri",https://maps.app.goo.gl/ApPQe6NHZLoQepbP8,"Selain keindahan alamnya, Randubang juga menyimpan kisah sejarah yang menarik. Dulu, tempat ini merupakan area penambangan batu yang sangat aktif. Kini, bekas-bekas aktivitas penambangan tersebut menjadi daya tarik tersendiri bagi para pengunjung. Selain menikmati keindahan alam, Anda juga bisa belajar tentang proses terbentuknya batu kapur dan sejarah penambangan di daerah ini. Randubang adalah tempat yang sempurna untuk belajar sambil bermain, cocok untuk dikunjungi bersama keluarga atau teman-teman.",https://storage.googleapis.com/bucketsformodel/gambar/RANDUBANG.jpg
51,Rasamadu Heritage,Historical & Museum,9.00,17.00,"Jl. Permata Raya Dukuh Tegal Mulyo, RT.002/RW.008, Honggobayan, Pabelan, Kec. Kartasura, Kabupaten Sukoharjo, Jawa Tengah 57169",https://maps.app.goo.gl/Mvm3jXqCM5UZ3GnY9,"Rasamadu Heritage mengajak Anda bernostalgia ke masa kejayaan industri gula di Solo. Bangunan pabrik gula peninggalan Belanda ini telah disulap menjadi destinasi wisata yang unik dan menarik. Dengan arsitektur yang megah dan suasana kolonial yang kental, Anda akan merasa seperti sedang berjalan-jalan di sebuah museum hidup. Tak hanya itu, Rasamadu Heritage juga menawarkan pengalaman interaktif yang seru, seperti Cubic Immersive Experience, di mana Anda bisa menjelajahi dunia virtual yang menakjubkan. Rasakan sensasi unik berwisata sejarah dengan sentuhan teknologi modern di Rasamadu Heritage!",https://storage.googleapis.com/bucketsformodel/gambar/RasamaduHeritage.jpg
52,Royal Water Adventure,Waterpark,8.00,18.00,"Jl. Raya Telukan No.KM 08, Dusun III, Telukan, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552",https://maps.app.goo.gl/wMLaXjSCsHSqEdcz7,"Bersiaplah untuk petualangan basah yang tak terlupakan di Royal Water Adventure! Taman air ini menawarkan beragam wahana seru yang cocok untuk semua usia. Mulai dari seluncuran air yang menantang adrenalin, kolam ombak yang mendebarkan, hingga kolam anak yang aman bagi si kecil. Selain itu, terdapat juga sungai malas yang santai untuk bersantai sambil menikmati pemandangan. Dengan suasana yang meriah dan fasilitas yang lengkap, Royal Water Adventure adalah tempat yang sempurna untuk menghabiskan waktu bersama keluarga dan teman-teman.",https://storage.googleapis.com/bucketsformodel/gambar/RoyalWaterAdventure.jpg
53,Selat Solo Vien's,Food,7.30,17.00,"Jl. Hasanudin No.99 D/E, Punggawan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139",https://maps.app.goo.gl/ku5Fq7MZnzAqPYmr9,"Rasakan kelezatan kuliner legendaris Solo di Selat Solo Vien's! Hidangan selat yang kaya akan rempah dan perpaduan rasa manis, gurih, dan sedikit asam akan memanjakan lidah Anda. Setiap suapan selat yang berisi daging empuk, sayuran segar, dan telur rebus akan membawa Anda pada perjalanan kuliner yang tak terlupakan. Lebih dari sekadar makanan, Selat Solo Vien's adalah warisan kuliner Solo yang telah melegenda dan menjadi favorit banyak orang. Dengan suasana yang nyaman dan pelayanan yang ramah, Anda akan merasakan kehangatan keramahan khas Solo.",https://storage.googleapis.com/bucketsformodel/gambar/SelatSoloViensPusat.jpg
54,Senatah Adventure,Nature & Adventure & Park,9.00,17.00,"Gadungan, RT.01/RW.13, Gadungan, Girimulyo, Kec. Ngargoyoso, Kabupaten Karanganyar, Jawa Tengah 57793",https://maps.app.goo.gl/nwgjh2oKQaUxwSLJ6,"Ingin merasakan sensasi petualangan yang tak terlupakan di tengah alam yang asri? Senatah Adventure adalah jawabannya! Dengan latar belakang pegunungan yang menawan, tempat ini menawarkan beragam aktivitas seru seperti river tubing, jeep wisata, dan outbound. Susuri derasnya arus sungai sambil menikmati keindahan alam, atau jelajahi medan yang menantang dengan jeep. Bagi Anda yang suka tantangan, Senatah Adventure adalah destinasi petualangan yang wajib dikunjungi. Rasakan adrenalin Anda terpacu dan ciptakan kenangan tak terlupakan bersama teman-teman atau keluarga!",https://storage.googleapis.com/bucketsformodel/gambar/SenatahAdventure.jpg
55,Serabi Notosuman,Food,5.00,17.00,"Jl. Moh. Yamin No.28, Jayengan, Kec. Serengan, Kota Surakarta, Jawa Tengah 57152",https://maps.app.goo.gl/FrgZsKnTtxXirqG27,"Rasakan kelezatan serabi legendaris Solo yang telah melegenda sejak zaman dahulu! Serabi Notosuman, dengan resep turun-temurun, menawarkan cita rasa yang khas dan sulit ditemukan di tempat lain. Tekstur lembut, manis yang pas, dan aroma pandan yang semerbak akan memanjakan lidah Anda. Setiap gigitan serabi ini adalah perjalanan waktu menuju masa lalu, membawa Anda merasakan kenikmatan kuliner yang autentik. Kunjungi Serabi Notosuman dan cicipi sendiri mengapa kudapan ini begitu dicintai oleh banyak orang.",https://storage.googleapis.com/bucketsformodel/gambar/SerabiNotosuman.jpg
56,Solo Safari,Zoo,8.30,16.30,"Jl. Ir. Sutami No.109, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah 57126",https://maps.app.goo.gl/637tZPs9rMJQ3sxs9,"Berpetualang di alam liar tanpa harus jauh-jauh dari kota, kini bisa Anda rasakan di Solo Safari! Dengan koleksi satwa yang beragam, mulai dari singa Afrika yang gagah hingga primata lucu, Solo Safari menawarkan pengalaman safari yang tak terlupakan. Tidak hanya melihat, Anda juga berkesempatan untuk berinteraksi langsung dengan beberapa satwa jinak di area petting zoo. Rasakan sensasi memberi makan jerapah atau berfoto bersama kanguru. Solo Safari adalah destinasi wisata edukasi yang menyenangkan bagi seluruh anggota keluarga.",https://storage.googleapis.com/bucketsformodel/gambar/SerabiNotosuman.jpg
57,Summerland Tirta Mas,Waterpark,7.00,18.00,"Jl. Ki Hajar Dewantara, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah",https://maps.app.goo.gl/cnXubk8nNnMtpdgF7,"Liburanmu akan semakin seru di Summerland Tirta Mas! Taman air modern ini menawarkan beragam wahana air yang memacu adrenalin, mulai dari seluncuran tinggi yang mendebarkan hingga kolam ombak yang menyenangkan. Selain itu, ada juga area khusus untuk anak-anak dengan berbagai permainan air yang aman dan menghibur. Setelah puas bermain air, Anda bisa bersantai di area lounge sambil menikmati makanan dan minuman yang segar. Ada berbagai pilihan kuliner yang tersedia, mulai dari makanan ringan hingga makanan berat. Selain itu, terdapat juga berbagai fasilitas pendukung seperti kamar ganti, toilet, dan loker yang bersih dan nyaman. Dengan konsep one-stop recreation, Summerland Tirta Mas adalah tempat yang ideal untuk menghabiskan waktu liburan Anda. Nikmati keseruan bermain air dan kelezatan kuliner dalam satu tempat!",https://storage.googleapis.com/bucketsformodel/gambar/SummerlandTirtaMas.jfif
58,Taman Balekambang,Nature & Adventure & Park,10.00,16.00,"Jl. Balekambang, Manahan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139",https://maps.app.goo.gl/CE6CCZ3HVMjSvd3GA,"Taman Balekambang, sebuah oase hijau di tengah kota Solo, menawarkan pengalaman yang menyegarkan bagi setiap pengunjung. Taman kota yang dibangun pada masa lalu ini menyajikan keindahan alam yang asri dengan berbagai jenis tanaman dan pepohonan yang rindang. Anda dapat menikmati suasana tenang sambil berjalan-jalan santai di sepanjang jalur yang teduh, atau bersantai di gazebo sambil menikmati pemandangan danau yang indah. Taman Balekambang bukan hanya sekadar taman biasa, tetapi juga menyimpan sejarah panjang yang menarik untuk dipelajari.",https://storage.googleapis.com/bucketsformodel/gambar/TamanBalekambang.jpg
59,Taman Hutan Rakyat,Nature & Adventure & Park,8.00,18.00,"Tambak, Dusun Sukuh, Berjo, Kec. Ngargoyoso, Kabupaten Karanganyar, Jawa Tengah 57793",https://maps.app.goo.gl/3N1tUeaQDxzzAnvT8,"Ingin melarikan diri sejenak dari hiruk pikuk kota? Taman Hutan Rakyat adalah jawabannya! Dengan udara segar dan pemandangan alam yang hijau sejauh mata memandang, Tahura menawarkan pengalaman mendalam dengan alam. Nikmati sensasi trekking di tengah hutan pinus yang rindang, berkemah di bawah langit penuh bintang, atau sekadar bersantai di tepi sungai sambil menikmati suara gemericik air. Bagi pecinta petualangan, Tahura adalah surga tersembunyi yang wajib dikunjungi.",https://storage.googleapis.com/bucketsformodel/gambar/TamanHutanRakyat.jpg
60,Taman Plesungan Indah,Waterpark,8.00,17.00,"Jl. Mayor Achmadi No.8, Samirukun, Plesungan, Kec. Gondangrejo, Kabupaten Karanganyar, Jawa Tengah 57181",https://maps.app.goo.gl/BpNo2fX3UuYY7EiT6,"Taman Plesungan Indah bukan hanya tempat bermain air, tapi juga tempat yang pas untuk bersantai dan mengisi perut. Setelah puas bermain, kamu bisa menikmati berbagai macam makanan dan minuman yang tersedia di sekitar area kolam renang. Ada banyak pilihan mulai dari makanan ringan hingga makanan berat, jadi kamu nggak perlu khawatir kelaparan. Jadi, tunggu apalagi? Ajak keluarga dan teman-temanmu untuk merasakan keseruan bermain air dan kelezatan kuliner di Taman Plesungan Indah!",https://storage.googleapis.com/bucketsformodel/gambar/TamanPlesunganIndah.jpg
61,Telaga Biru Sukoharjo,Nature & Adventure & Park,0.00,23.59,"5QP7+7F5, Karangwuni, Weru, Candi Rejo, Sukoharjo, Geneng, Candi Rejo, Kec. Semin, Kabupaten Gunung Kidul, Jawa Tengah 57562",https://maps.app.goo.gl/PAtBuEWqwxmZfmCh8,"Bagi Anda yang suka petualangan, Telaga Biru Sukoharjo adalah destinasi yang tepat. Telaga Biru Sukoharjo menawarkan pesona alam yang tak kalah memukau. Bekas tambang batu putih yang terisi air hujan ini menyajikan pemandangan air berwarna biru kehijauan yang begitu menawan. Dengan latar belakang perbukitan hijau, Telaga Biru menjadi spot foto yang instagramable. Setelah puas beraktivitas, Anda bisa bersantai di tepi telaga sambil menikmati pemandangan yang indah. Jangan lupa membawa bekal untuk piknik bersama keluarga atau teman-teman. Telaga Biru adalah tempat yang sempurna untuk melepas penat dan menikmati keindahan alam.",https://storage.googleapis.com/bucketsformodel/gambar/TelagaBiruSukoharjo.jpg
62,Telaga Madirda,Nature & Adventure & Park,8.00,17.00,"Telaga Madirda, Area Sawah, Berjo, Kec. Ngargoyoso, Kabupaten Karanganyar, Jawa Tengah 57793",https://maps.app.goo.gl/hrdJuzc7VJZoS6fC9,"Bagi Anda yang suka petualangan, Telaga Madirda memiliki banyak hal yang bisa ditawarkan. Sewa perahu kayak dan jelajahi setiap sudut telaga, atau coba jalur trekking yang menantang di sekitar kawasan. Setelah puas beraktivitas, Anda bisa menikmati fasilitas yang tersedia, seperti area camping atau spot foto yang instagramable. Telaga Madirda adalah destinasi yang sempurna untuk menghabiskan waktu bersama keluarga atau teman-teman sambil menikmati keindahan alam.",https://storage.googleapis.com/bucketsformodel/gambar/TelagaMadirda.jpg
63,Tengkleng Pak Manto,Food,7.30,20.00,"Jl. Honggowongso No.36, Sriwedari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57141",https://maps.app.goo.gl/n2W3993jHnToA7hUA,"Bagi para pecinta kuliner, nama Tengkleng Pak Manto sudah tidak asing lagi. Warung makan legendaris ini menyajikan tengkleng dengan cita rasa yang khas dan sulit ditemukan di tempat lain. Perpaduan bumbu yang kaya dan rempah yang meresap hingga ke tulang membuat setiap suapan terasa begitu nikmat. Konon, resep tengkleng di sini sudah turun-temurun dan menjadi favorit banyak orang. Selain rasanya yang lezat, suasana warung yang sederhana dan penuh keakraban juga menjadi daya tarik tersendiri.",https://storage.googleapis.com/bucketsformodel/gambar/TengklengPakManto.jpg
64,Teradisional,Food,12.00,22.00,"Jl. Tejonoto 3 No.3, Danukusuman, Kec. Serengan, Kota Surakarta, Jawa Tengah 57156",https://maps.app.goo.gl/yy8H2XSkUhd2QyAf7,"Teradisional yang berlokasi di Solo menjadi salah satu destinasi kuliner unik yang menawarkan experience santapan Pizza dengan berbalut interior rumah adat Jogja. Segera kunjungi dan nikmati syahdunya kombinasi Pizza ala Italia dengan cantiknya kota Solo! Teradisional merupakan salah satu dari kian banyak tempat jujugan makan di kota Solo. Ciri khasnya terletak pada interiornya yang dibuat menyerupai rumah adat Joglo. Tak hanya itu, cafe ini menawarkan tiga kategori menu sekaligus, mulai dari Pizza, Gudeg, hingga Ketan.",https://storage.googleapis.com/bucketsformodel/gambar/Teradisional.jpeg
65,Tumurun Private Museum,Historical & Museum,10.00,15.00,"Jl. Kebangkitan Nasional No.2, RW.4, Sriwedari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57141",https://maps.app.goo.gl/XhhcDu3P5uGXQ9XA8,"Museum Tumurun di Solo, Indonesia adalah yang terdepan dalam mendukung pendidikan seni, dengan koleksi karya seni yang beragam mulai dari maestro berpengalaman hingga seniman muda pemula. Terletak di jantung kota Surakarta, museum ini hadir di tengah masyarakat untuk mempromosikan akses yang mudah bagi semua orang dari semua lapisan masyarakat. Museum Tumurun menyelenggarakan pameran khusus dua kali dalam setahun, menampilkan karya seniman dari seluruh dunia. Pameran-pameran ini bertujuan untuk menjaga agar museum tetap menarik dan progresif, memastikan perspektif baru tentang komunitas seni, sekaligus memberikan wadah bagi seniman dan pengunjung untuk memulai atau melanjutkan perjalanan mereka di dunia seni.",https://storage.googleapis.com/bucketsformodel/gambar/TumurunPrivateMuseum.jpeg
66,Waduk Gajah Mungkur,Nature & Adventure & Park,0.00,23.59,"4WV6+X6J, Godean, Sendang, Wonogiri, Wonogiri Regency, Central Java 57615",https://maps.app.goo.gl/dwqhvrWANRAFAb3k6,"Dengan luasnya yang mencapai 8.800 hektar, waduk ini menawarkan pemandangan alam yang memukau, mulai dari perbukitan hijau hingga air danau yang tenang. Selain menikmati keindahan alam, Anda juga bisa melakukan berbagai aktivitas seru seperti berkeliling danau dengan perahu, memancing, atau mencoba olahraga layang gantung. Bagi pecinta petualangan, Waduk Gajah Mungkur adalah surga yang tak boleh dilewatkan.",https://storage.googleapis.com/bucketsformodel/gambar/WadukGajahMungkur.jpg
